Tweet ID,Corpus,Source
569,"I mean look at this vile shit from the NYT. Israels military killed TERRORISTS. Palestinian terrorists killed SYNAGOGUE ATTENDEES. To the NYT, its all just a cycle of violence:",Before
657,I look forward to speaking at 9:15  (19:15 Israel time) on X with @elonmusk about how we can harness the opportunities and mitigate the risks of AI for the good of civilization.,Before
612,I know a few people in Israel right now wondering something.  Ill just say this: WE FUCKING WARNED YOU.,Before
337,He makes me sick to my stomach. Hadn’t those families suffered enough? What kind of monster needs to exacerbate their pain by calling the massacre of their babies a “hoax”? What parent on the planet can stand with someone like him? I don’t get it.  But no dollar amount is enough.,Before
102,Happy Hanukkah! Brandy and I are Grateful and Blessed to be able to celebrate the survival of the Jewish people with Auburn Hillel!,Before
785,Go fuck yourself.   Israel IS an apartheid state.,Before
702,Free Palestine is trending. This is a reminder that the biggest impediment to Palestines liberation is the U.S.s ceaseless funding of Israels apartheid regime.,Before
681,"Former Israeli PM Naftali Bennet: NATO “decided that it is necessary to continue to smash Putin, and not to negotiate… They broke off the negotiations, and then it seemed to me that they were wrong.”",Before
914,"Dershowitz said Trump asked him at dinner why only 27% of Jews voted for him when he strongly supported Israel. Dersh said he told Trump Jews also care about gay rights, abortion, climate change, gun control and separation of church and state, and he was terrible on those.",Before
730,"Biden gang walks back claim drone strike killed senior al-Qaeda leader  ""U.S. military officials are walking back claims that a recent strike in Syria killed an influential al-Qaeda figure, following assertions by the dead man’s family that he had no ties to terrorists but was a",Before
319,Bernie Sanders is approximately as Jewish as a ham sandwich topped with shrimp on lard bread x.com/OstrovA/statu…,Before
723,"Because the answer is “Yes!” regarding seeking donations, hence JG’s refusal to answer the question.   JG instead went on the attack, implying that Sorkin, despite being Jewish, is somehow an anti-Semite just for asking a basic conflict-of-interest question!",Before
441,"Atlanta Mayor Says the Quiet Part Out Loud About Saturdays Leftist Terrorism in the City. “So make no mistake about it, these individuals meant harm to people and to property,”",Before
451,As an actual jew this is particularly enraging,Before
472,Artificial intelligence discussion with PM Netanyahu in an hour,Before
118,"And while were on this subject, theres a difference between acknowledging that a celebrity said something foolish, and claiming the celebrity is responsible for violence.  Anyone whos going to do violence because Ye said something about Jews was already going to do violence.",Before
807,Absolutely not! The ADL represents Jews in the same way that Fortune 500 CEOs represent men. It’s a tiny substratum that in no way represents the entire group.,Before
313,A direct threat against American Jews by a disgraced and addled former President of the United States in 2022.,Before
373,"A Palestinian Arab murders seven Jews going to synagogue in Jerusalem, the historic capital of the Jewish people.  Many Palestinians celebrate. Hamas takes credit.   Media response: This is a cycle of violence. After all, Jews WERE going to shul in Jerusalem.",Before
232,"4. Hatred, Lies and scapegoating are on the ballot as is a growing and dangerous menace of antisemitism.   The American experiment has been under a growing assault for seven years. It is not abating and it has become a frontal assault that is occurring in broad daylight.",Before
693,2. He must also be aggressively questioned about his efforts at appeasing the terrorist Iranian regime.,Before
976,#NeverForget #NeverForgive   No plea deals for 9/11 terrorists!,Before
116,"""You want a presidential candidate. who has a backbone. If RFK Jr. thinks somehow that each Palestinian baby who was killed somehow was never in any way, intentional, deliberate, they didnt know what they were doing --he needs to really get off the crack pipe.""  Premiere",Before
874,"""There is no deal between the United States, Bibi Netanyahu’s extremist and anti-democratic coalition and MBS that should ever be ratified by the United States Senate. Ever.""  More on why the United States of America should never sign a mutual defense pact with the Saudi regime:",Before
609,"hey, remember when you phoned up your despot bestie Netanyahu and told him not to accept a cease fire deal? ace job, homeslice. good thing your meddling caused no serious consequences, am I right",After
705,"hey, remember when Jared Kushner brought peace to the Middle East? me neither",After
133,"hey, remember when Jared Kushner brought lasting peace to the Middle East? me neither",After
968,"Yes, “decolonization” necessarily implies a Jewish genocide, thus it is unacceptable to any reasonable person",After
771,"Who does this guy think has been shutting down Grand Central, the Statue of Liberty etc?  Anyway, learn more about these courageous Jewish activists who are saying they don’t want war crimes committed in their name on the latest @BadFaithPod. #NotInMyName",After
240,"Whats the difference between a ""poison pill"" as described here and giving Gaza funding to become independent while expecting they will fail? Dont they look and sound the same?",After
619,We ought to have sympathy for both. And we ought to recognize that both are dead because of Hamas.,After
254,We need to stop referring to these people as “anti-Israel” protesters. They couldn’t find Israel on a map.   They are misfits and losers who are carrying the banner for Islamic terrorism and many of them are doing it because it’s their only opportunity to fit in and be a part of,After
247,"We aren’t going to forget in November who it is that ran on a Muslim ban and who it is that is promising mass deportations and who it is that will hand Gaza and the West Bank to Netanyahu on a silver fucking platter. Unlike @RashidaTlaib, we Arabs aren’t going to forget, are we?",After
311,"Was supremely moved by this speech, which was searing and compassionate. Also seems essential to include a Palestinian speaker to the convention.   …",After
417,"Walz goes all in for the pro-Hamas crowd, wow.  Walz: “We need to continue, I think, to put the leverage on” (meaning pressure Israel)  Walz: “I think those folks who are speaking out loudly in Michigan are speaking out for all the right reasons.”  Yikes. x.com/dylanewells/st…",After
965,"Vice President Harris: ""President Biden and I are working to end this war such that Israel is secure, the hostages are released, the suffering in Gaza ends, and the Palestinian people can realize their right to dignity. Security. Freedom. And self-determination.""",After
698,"UN agency ""aid"" get ""stolen"" by Hamas.  ""U.N. sources told Israel’s Walla News that the aid was stolen, and Israel’s military liaison to the Palestinians reports that 24,000 liters of fuel and medical supplies went to Hamas, whose underground bases use diesel generators.""",After
652,Trump to Netanyahu today: “No president has done what I’ve done for Israel.”,After
272,"Trump ranted last night about Gov. Josh Shapiro — calling him ""the highly overrated Jewish Governor"" and claiming he has done ""nothing for Israel.""  In response, White House spokesman Herbie Ziskend says: ""It is Antisemitic, dangerous, and hurtful to attack a fellow American by",After
390,"This was a tough call.   While many government leaders, including in the USA, do call for killing people, we have a “UN exemption rule”; if a government is recognized by the UN, we will not suspend their accounts.  Hamas is not recognized as a government by the UN, so was",After
250,"This is what Israels ""war"" is doing in Rafah.  This is not ""victory."" Its a project of genocidal desperation aided and abetted by the U.S. and its European vassals.",After
779,This is from the US Embassy in Israel urging Israel to not retaliate under unprecedented circumstances… a literal  attack on their very existence. It’s absolutely unbelievable. Like so many examples here in the United States. The left thinks you should be OK with your own demise,After
217,"This is a very thoughtful, measured and perfect statement to make. Delivering it in Israel makes it even more powerful. It is inconceivable that Trump could ever make such a statement.",After
174,"This is AMAZING. Watch as Trumps says it is not the Palestinians blocking peace, but   Netanyahu that doesnt want to make a  deal  & is BLOCKING A PEACE DEAL.   This confirms everyones suspicions that Netanyahus plan all along was to wipe out the Palestinians, move those that",After
236,"This headline -- erasing the ""cost"" of 23,000+ Palestinians killed by the invading Israeli army, plus many more wounded, maimed, and displaced -- only underscores that the NYT should change its name to the Nazi Yisrael Times:",After
293,"This creates a catch-22. If Israel does not defend itself, Israel is destroyed. If Israel does defend itself while Hamas hides behind civilians, the media blast out these images. So what, precisely, is Israel supposed to do? World opinion will not govern Jewish survival.",After
357,"This Week in Hasbara (w/ @AbbyMartin)  ""We cant forget that the Jerusalem Post run by @AviMayer, whos essentially a stenographer for the IDF hes essentially a military propagandist running one of the biggest newspapers in Israel. They had the audacity to try to discredit &",After
726,"They said this BEFORE Israel took Rafah. They said this BEFORE Israel took the Philadelphia Corridor. They said this BEFORE Israel killed Deif, Haniyeh, and Shukr. So Id take their military opinions with a Dead Sea-worth of salt.",After
809,They release this the day we find out that Israel bombed and killed 12 children from one family in a spree of bombings in Rafah last night.,After
955,"They put ""Israeli"" in quotes for a little more license to attack and dehumanize them. …",After
351,These pro-Hamas protests are being fostered by the faculty and patted on the head by the administration. Thats because these colleges have been completely eaten by the evil intersectional ideology that crosses streams with Jew-hatred.,After
392,These people were prosecuted and had their lives destroyed more than any BLM/ANTIFA terrorist ever will.   …,After
858,There is no “pro-Palestine” side to this. Palestine is controlled by Hamas. If you’re screeching for a ceasefire you’re coddling terrorists.   …,After
435,"There can be no “managing” of Hamas. It is a genocidal, jihadist org whose charter is the destruction of Israel and the murder of Jews worldwide. Israel must destroy Hamas, help the world rebuild Gaza and find peaceful Arab leaders like Abraham Accords",After
395,"The word ""evil"" is not descriptive enough for Hamas. They murdered in cold blood six people they had taken hostage almost a year ago, including an American, just days ago -- all in an attempt to sow seeds of political chaos. A few points:  1. Hamas must be extirpated. It is the",After
572,The pro-Hamas account ‘Iran Observer’ is promoting Trump’s speech last night where he called Hezbollah “a very smart organization.” Story …,After
735,"The predictable results of Bidens disgusting weapons cut-off threat: 1. Hamas refuses any deal. The hostages, including Americans, remain. Hamas knows theyve got Biden on their side. 2. Israel MUST go into Rafah because of (1).  3. Biden is cutting off targeted munitions, which",After
830,The attack on Israel is not over a territory dispute. Its about annihilating the Jews.,After
290,"The United Center breaks out in chants of Bring Them Home as the parents of Hersh Goldberg-Polin, an American hostage held by Hamas, speak at the DNC.",After
934,The U.K. government has reversed its opposition to the International Criminal Court seeking an arrest warrant against Israeli PM Benjamin Netanyahu.,After
131,The Republican Party wants to give Benjamin Netanyahu a blank check to do whatever he wants in Gaza with no oversight or questions asked. The fact that most Democrats disagree with that does not make them anti-Semitic. A large percentage of Jewish Democrats disagree with that.,After
173,The Israeli outlet Haaretz has confirmed what independent journalists @AliAbunimah @davidsheen @MaxBlumenthal reported from the start: Israel invoked the Hannibal Directive and slaughtered its own people on Oct. 7th to prevent them from being taken captive.   Former IDF,After
480,The Israeli government put out this warning as did a friend of mine in Israel who is a mental health professional. This is very good advice. …,After
367,"The Houthi slogan: ""Allahu Akbar, Death to America, Death to Israel, A Curse Upon the Jews, Victory to Islam.""  Biden cut off arms sales for Saudi against them and removed the Houthis terrorist designation in 2021, then started negotiating with Iran.  All that worked out great.",After
147,"The Hamas attack on Israel was horrific, criminal and so stupid. It guarantees further suffering for their own people.  The problem in America is that most people have a simplistic view of the situation that is completely removed from reality. They assume normal relations and",After
997,"The Ceasefire Shell Game (w/ @samhusseini)  Independent journalist Sam Husseini completely dismantles the state department narrative around the ceasefire negotiations, who’s at fault, & what the new UN report tells us about Israel’s use of rape, torture, & the Hannibal",After
476,The Biden administration is now effectively preparing to make aid to Israel contingent on. unspecified changes to Israeli policy. Which means that Israel can do little or nothing to appease the White House. Hamas is now in control of the Biden administration.,After
605,Terrorist sympathizers plus well meaning morons calling for a “ceasefire” like to absorb Hamas propaganda I guess EXCEPT when leaders of Hamas directly say they will repeat October 7 for as long as it takes until Israel is wiped off the map…,After
104,Starlink will support connectivity to internationally recognized aid organizations in Gaza.   ComStar,After
562,Starlink is now active in a Gaza hospital with the support of @UAEmediaoffice and @Israel,After
827,So now we’re all going to pretend that Dave Smith is THE redpilled guy and not a libertarian Jew who is willing to talk about neocons and deflect accusations of antisemitism?  I like him but let’s be honest.,After
822,Shocked that even MSDNC realized that it probably wasn’t a great idea to have Pro Hamas propagandists on air for hours a week.,After
412,Sen. Raphael Warnock is now calling for a ceasefire in Gaza.,After
622,"Secretary of State Antony Blinken says the U.S. has submitted a draft resolution to the UN Security Council calling ""for an immediate ceasefire"" in Gaza — ""tied to the release"" of hostages held by Hamas.",After
203,Rudy says we should have sent Navy SEALs and Army Rangers into Gaza to rescue the hostages.,After
929,"Remember, the obstacle to peace in the Middle East is very simple: Palestinian rejection of Israel, and heartfelt support for murderous terrorism. The supposedly ""moderate"" Palestinian Authority has now formed a unity government with HAMAS.",After
925,Pretty amazing that the entire establishment media had people embedded with Hamas while they did the terrorist attack on 10/7. Are we still pretending they’re not the enemy of the people? Truly sick people!,After
806,"President Biden: ""I am outraged and heartbroken by the deaths of seven humanitarian workers from World Central Kitchen, including one American, in Gaza yesterday. They were providing food to hungry civilians in the middle of a war. They were brave and selfless. Their deaths are a",After
793,Politico : Senior US officials say the ceasefire deal is on the verge of collapse.,After
595,"Philadelphia, PA - four masked men walked into Cafe Ole (Huntingdon) and proceeded to tear off the Israeli flag, while yelling “Free Palestine” as they left.   Police are investigating.",After
508,"Per CNN: “An initial group of 13 hostages have been released, the Israeli prime ministers office says, as a truce between Israel and Hamas — the first in weeks of fighting — appears to be holding.”",After
277,"People need to understand how the Arab and Muslim world is digesting these images.  You might say, “they’ve always been against Israel; I don’t care,” but that’s foolish.  Support can shift from being non-existent to very aggressive opposition on a broad scale in a short time.",After
365,"One of the quickest IQ tests on Twitter is when you make a logical analogy and someone responds with “those two situations aren’t exactly the same!”  Also, this guy just compared Hamas to the Nazis. See “DIFFERENT” is ok when you’re justifying the mass slaughter of babies.",After
816,"One day after it whitewashed the Palestinian death toll, NYT now describes an Israeli attempt to raze Palestinian homes and make their area unlivable as an attempt to ""help create a buffer zone.""  Nazi propagandists would be impressed.",After
295,"Once again, the images from Gaza are awful and heartbreaking and entirely the fault of Hamas. The minute Hamas gives up the hostages and surrenders, this is all over. Everyone knows it. And everyone calling for a ceasefire is doing Hamas dirty work.",After
799,"On this Day of Jihad, @JohnFetterman  delivers a prayer for peace in Arabic",After
985,On US peace negotiations between Israel and Gaza: “The reporting is that former President Trump is on the phone with the PM of Israel urging him not to cut a deal right now because it’s believed that would help the Harris campaign.”,After
699,"Obviously the story of the day is Biden’s monumentally disastrous performance, and it should be, but can we take a moment to appreciate how unbelievably awful and cowardly Trump’s take on Israel was?  Seriously? Joe Biden, the life long Zionist who is currently funding the",After
507,"Now that hes the political leader of Hamas, that means when his obituary is written, well learn he was actually a moderate voice in favor of a ceasefire according to WaPo and NYT",After
180,"No, he doesnt.   This is a war of aggression and genocide targeting civilians brought about by Vladimir Putin and his corrupt regime, and hes clearly fine with it.",After
210,No shit. Thats what happens when Hamas rejects the ceasefire offer and asks Hezbollah to go hot.,After
878,"Netanyahus democratically-elected unity government includes his chief center-left political rival, Benny Gantz. Nearly 250 IDF soldiers have been killed going door-to-door to protect civilians. Dictator Assad used chemical weapons on civilians. This comparison is asinine.",After
268,My most interesting takeaway from the Hamas hospital own goal story just how rapidly an American anti-Israel horseshoe of far-right and far-left voices merged to echo Hamas propaganda.,After
626,"Many Americans have moved past the Hamas terrorist attack. They think it’s over or that it’s time to move on. But nothing could be FURTHER from the truth. Tonight on Glenn TV, I explain why I’m afraid we’re heading toward a LARGER, maybe even BIBLICAL, war.",After
177,"MAGA, Trump & Vance have been telling us that the U.S. shouldn’t police the world and solve issues happening in other countries. But I guess this attack inside Israel is now America’s fault, and not Benjamin Netanyahu’s. I’m struggling to understand this ‘America First’ thing.",After
658,Looks like Hamas cured that new Covid wave,After
942,"Let’s start a thread of all the times high level Israeli officials, affiliates, and proxies have openly called for genocide. Drop em here",After
864,"Let’s just be honest, these “pro-Palestine” encampments are little more than the misfits of the world living out the sleepovers they never got invited to during their childhood years.   Sure, there are some true jihadis hiding in there but most of them are just your typical",After
262,"Less than a month after Biden admin trades with terrorists for American hostages in Iran by releasing billions, Iran front-group Hamas launches terrorist war on Israel.",After
901,Kushner Kleanup Time: Please ignore my previous comments that waterfront property in Gaza “could be very valuable.” I’m all about the welfare of the Palestinian people. Thank you. End of statement.,After
121,"Kudos to my Mossad comrades for engineering it so that the Libertarian Party couldnt be an effective force against Israel this year.  . and, lock comments",After
517,"Khamenei’s official position is clear that the eradication of Israel is the actual goal, not just supporting Palestinians.  That will not happen. All that actually happens, decade after decade, is a never-ending cycle of violence and vengeance.  Stoking the fires of hatred isn’t",After
843,"Joe Biden just approved a billion dollars worth of bombs and bullets to go to Israel so they can slaughter Palestinians in Rafah.  So all you Democrats who said ""look,  Biden is putting his foot down with Israel"" - we know you - and your genocidal president-  were full of shit.",After
773,Javanka on scene to negotiate an end to the conflict in Israel.,After
753,"It’s pretty amazing. I’ve spent the last week talking about the conditions that led to the Hamas terrorist attack, mainly Israel’s occupation and Israel’s support of Hamas. I’ve been speaking out against the current war, where over a million children’s lives hang in the balance.",After
989,"It’s been like this since 1948, but modern day Zionists are such depraved blood thirsty maniacs that even Americans are waking up:",After
454,"It was supposed to be an event on fighting antisemitism, but like so many things in Trumpworld, it quickly turned into Donald Trump just engaging inantisemitism.",After
587,"Israel’s pager attack in Lebanon detonated thousands of handheld devices across of a slew of public spaces, seriously injuring and killing innocent civilians.  This attack clearly and unequivocally violates international humanitarian law and undermines US efforts to prevent a",After
231,"Israeli military kills Hamas terrorists, finds significant weapons and assets inside UNRWA headquarters … #FoxNews",After
369,Israel: Wed like our hostages back. Hamas: Our counteroffer is that you get back their corpses and permanently end your war against us. NYT: Small changes to the deal proposed,After
469,"Israel: Here are the terms of our proposed ceasefire. Hamas: No. We will fire rockets at your soldiers at a humanitarian aid entry. Israel: Okay, were going into Rafah. Hamas: We accept a ceasefire we negotiated with ourselves. Media: Hamas accepts ceasefire! They want peace!",After
920,Israel unleashes fire and fury against Hamas Nazis,After
764,Israel under Netanyahu is not really different than Syria under Assad -- a brutal government trying to protect an endangered Middle Eastern religious minority group by convincing everyone that its too savage and ruthless to mess with.  …,After
449,"Israel is increasing its attacks in the West Bank, an area not run by Hamas. The West Bank has no army and their citizens are defenseless. People are being forcibly removed from their homes, terrorized, arrested and shot. Bombs and bullets supplied by Kamala Harris and Joe Biden.",After
795,"Israel is definitionally a Jewish-supremacist ethno-state. If Arab Palestinians had equal rights in Israel & the right of return, Israel could start to claim its a democracy.   As it is, its an apartheid state thats just murdered 15,000 people in six weeks.   Whatever you call",After
261,Israel  is already sniping at civilians attempting to go home during the temporary ceasefire.  This terrorist regime has run out of masks to take off.,After
788,Israel  has displaced over a MILLION Palestinians from their homes as they bomb everything that moves.  The second Nakba isn’t coming. It’s happening NOW.,After
815,"Incredible that the Lefts response to Americans cheering to free American hostages held by the terrorist group Hamas (which denies a ceasefire), is that a Palestinian must speak in order to rip into the American ally Israel fighting to free those American hostages",After
486,"In response to Hamas attack on Israel, slaughtering 1200 innocent civilians with promises to do it again and again, Gov Walz wants to REWARD THEM with their own state? Sir, they have had their own Terrorist State since 2005! That swap of land for peace did not work then or now!",After
896,"In a few more hours, MAGA can come out of their bunkers, take off the camo, put their AR-15s, flamethrowers and grenades up, because the global day of jihad will be over.",After
304,"In Israel with a bipartisan delegation of US Senators, Lindsey Graham goes off on a Newsmax reporter asking him to condemn Rashida Tlaib: “You’re not going to screw this up! Get this guy out of here!”",After
697,"In Gaza, starving children are dying of hypothermia. Newborn babies of malnourished mothers are dying after a few days. This is famine, this is genocide and it all could have been stopped with one phone call from Joe Biden.",After
164,"In 2018, Henry Siegman, former head of the American Jewish Congress and the Synagogue Council of America, wrote this about Israels claim of ""self-defense"" in Gaza and the West Bank:  ""In Gaza, as in the West Bank beyond the pre-1967 armistice line, Israel is acting not in",After
598,"If you think its bad thing that the leaders of Hamas and Hezbollah got whacked yesterday, just unfollow.",After
455,"If you teach that “weak makes right”, then the perceived stronger party – in this case, Israel – is wrong.  Morals should be taught in the absolute, meaning that it is possible for either the strong or weak to be morally good, depending on their actions.",After
582,"If you feel no sympathy for innocent Israelis murdered or kidnapped by Hamas terrorists last weekend, you have no humanity.  If you feel no sympathy for innocent Palestinians killed in Israels revenge attacks on Gaza, you have no humanity.  Be human.",After
885,"If the Israeli security cabinet approves a temporary pause in order to return some of the hostages, the world will undoubtedly take this as the first step toward cessation of hostilities. Nope. Israels mission will not and should not change: the utter destruction of Hamas.",After
972,If anyone spoke this way about Israeli children as they were being slaughtered what would your reaction be?,After
349,"IDF prepared for total eradication of Hamas, Netanyahu says",After
452,I think these people should go to Israel and negotiate with Palestinian and Hamas leadership. I’m sure they’ll be taken seriously and not thrown off of the rooftops!,After
903,"I just recited the Mourners Kaddish for an American, Hersh and the other hostages murdered by these barbarians! There is NO JUSTIFICATION! There doesnt need to be a deal, a ceasefire or a reward to Hamas or Hezbollah with the creation of a terrorist Palestinian state! Israel",After
938,"I have admired many aspects of RFK’s campaign. His opposition to Covid tyranny, vax mandates, the Ukraine war and the deep state have been nothing short of heroic.   However, his support for the war in Gaza is disqualifying. We are THE antiwar, non-interventionist party and",After
384,"I don’t think there’s anything secret about it. Anyone can read “A clean break’ A major contributing factor to the neocons desire to remove Saddam was Israeli interests. And they were openly supportive of the war. Of course, that doesn’t absolve anyone.  My point is more that",After
168,"I despise Bibi.  I don’t think it’s a genocide.  I guarantee if they invited a Palestinian American to speak neither side would be satisfied.  All the speakers are in support of the nominee, not special interests.",After
648,"How odd for Trump to Blame America First for an act of terrorism in Israel, without a word of accountability instead for his good friend Benjamin Netanyahu, who actually runs that country.",After
906,Here’s how Israel deals with Jews in Israel protesting against the Israel government.,After
971,Hamas to endorse college debt relief shortly,After
528,Hamas has committed atrocities in Israel. The human cost of their barbarousness is catastrophic. We should have solidarity in our unwavering support for the innocent victims of this violence. But what have Republicans done since day one instead? They’ve used the acute suffering,After
510,Hamas does not have the capacity anymore for serious offensive action. But theyve roped Iran and Hezbollah into sympathy action that neither Iran nor Hezbollah can afford. Iran and Hezbollah are desperately attempting to get to a ceasefire offramp so they can claim that they,After
869,Hamas Official Ghazi Hamad: We Will Repeat the October 7 Attack Time and Again Until Israel Is Annihilated; We Are Victims - Everything We Do Is Justified #Hamas #Gaza #Palestinians,After
844,Hamas Nazis shooting at civilians to keep them away from aid trucks. Blinken silent.,After
233,"Guys Israel just needs to send John Fetterman to negotiate with Hamas After trying to listen to him their translator will just blow himself and the leadership up, and steps towards a lasting peace can commence",After
836,"Good news, then: the IDF will have security control, and the current government is a unity government including his opposition. The post-Hamas plans for Gaza have literally nothing to do with Netanyahu personally.",After
672,"For the amount of times it’s been demanded that I condemn this kid and having never done it, you’d think if he were going to come out and criticize me, he would at least have something to say other than “look at this guy believing in freedom while being Jewish.”  For the record,",After
883,FULL STORY: Walz administration awarded $2 million to Muslim group fundraising for al Qaeda-linked charity,After
583,Elderly man assaulted in his own home by an invader This is what Hamas Day of Jihad has resulted in,After
400,Donald Trump praising Hamas is all the proof you need that the family of raccoons that live inside his head have finally chewed through all the wires,After
666,"CNN has confirmed that as the Hamas fighters were slaughtering innocent people they could be heard to be chanting ""This is MAGA country""",After
