Subject_ID,Tweet_ID,Sentence,Tokens,Indexed_Tokens,Segments_IDs
78,996,[CLS] It requires deliberate ignorance scale deliberately ignore history Russian genocide Ukraine [SEP],"['[CLS]', 'it', 'requires', 'deliberate', 'ignorance', 'scale', 'deliberately', 'ignore', 'history', 'russian', 'genocide', 'ukraine', '[SEP]']","[101, 2009, 5942, 15063, 18173, 4094, 9969, 8568, 2381, 2845, 14052, 5924, 102]","[12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]"
78,996,[CLS] Dont deliberately ignore history Russian genocide Ukraine [SEP],"['[CLS]', 'don', '##t', 'deliberately', 'ignore', 'history', 'russian', 'genocide', 'ukraine', '[SEP]']","[101, 2123, 2102, 9969, 8568, 2381, 2845, 14052, 5924, 102]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
41,641,[CLS] Yes Middle East journalisming often works [SEP],"['[CLS]', 'yes', 'middle', 'east', 'journalism', '##ing', 'often', 'works', '[SEP]']","[101, 2748, 2690, 2264, 8083, 2075, 2411, 2573, 102]","[14, 14, 14, 14, 14, 14, 14, 14, 14]"
17,198,[CLS] Yes real post Donald Trump addressing liberal Jews voted destroy America Israel [SEP],"['[CLS]', 'yes', 'real', 'post', 'donald', 'trump', 'addressing', 'liberal', 'jews', 'voted', 'destroy', 'america', 'israel', '[SEP]']","[101, 2748, 2613, 2695, 6221, 8398, 12786, 4314, 5181, 5444, 6033, 2637, 3956, 102]","[15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]"
62,187,[CLS] Wikipedia   accounts getting suspended massacre [SEP],"['[CLS]', 'wikipedia', 'accounts', 'getting', 'suspended', 'massacre', '[SEP]']","[101, 16948, 6115, 2893, 6731, 9288, 102]","[16, 16, 16, 16, 16, 16, 16]"
62,187,[CLS]       arrests    dead biggest national guard deployment ever protests [SEP],"['[CLS]', 'arrests', 'dead', 'biggest', 'national', 'guard', 'deployment', 'ever', 'protests', '[SEP]']","[101, 17615, 2757, 5221, 2120, 3457, 10813, 2412, 8090, 102]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
28,318,[CLS] What great State live [SEP],"['[CLS]', 'what', 'great', 'state', 'live', '[SEP]']","[101, 2054, 2307, 2110, 2444, 102]","[18, 18, 18, 18, 18, 18]"
28,318,[CLS] Honored Light Menorah The Governors Mansion Montgomery Alabama tonight celebrating miracle Hanukkah survival Jewish people [SEP],"['[CLS]', 'honored', 'light', 'men', '##ora', '##h', 'the', 'governors', 'mansion', 'montgomery', 'alabama', 'tonight', 'celebrating', 'miracle', 'han', '##uk', '##ka', '##h', 'survival', 'jewish', 'people', '[SEP]']","[101, 8686, 2422, 2273, 6525, 2232, 1996, 11141, 7330, 8482, 6041, 3892, 12964, 9727, 7658, 6968, 2912, 2232, 7691, 3644, 2111, 102]","[19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
28,318,[CLS] Thank Governor Ivey [SEP],"['[CLS]', 'thank', 'governor', 'iv', '##ey', '[SEP]']","[101, 4067, 3099, 4921, 3240, 102]","[20, 20, 20, 20, 20, 20]"
83,670,[CLS] We shouldn t tell president NOT make Catholic sign cross front Prime Minister Israel [SEP],"['[CLS]', 'we', 'shouldn', 't', 'tell', 'president', 'not', 'make', 'catholic', 'sign', 'cross', 'front', 'prime', 'minister', 'israel', '[SEP]']","[101, 2057, 5807, 1056, 2425, 2343, 2025, 2191, 3234, 3696, 2892, 2392, 3539, 2704, 3956, 102]","[21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21]"
83,670,[CLS] But yet [SEP],"['[CLS]', 'but', 'yet', '[SEP]']","[101, 2021, 2664, 102]","[22, 22, 22, 22]"
20,509,[CLS] Watch full exchange RFK Jr [SEP],"['[CLS]', 'watch', 'full', 'exchange', 'rf', '##k', 'jr', '[SEP]']","[101, 3422, 2440, 3863, 21792, 2243, 3781, 102]","[23, 23, 23, 23, 23, 23, 23, 23]"
20,509,[CLS] I challenge  unconditional  support Israel light international consensus Israel apartheid state [SEP],"['[CLS]', 'i', 'challenge', 'un', '##con', '##ditional', 'support', 'israel', 'light', 'international', 'consensus', 'israel', 'apartheid', 'state', '[SEP]']","[101, 1045, 4119, 4895, 8663, 27064, 2490, 3956, 2422, 2248, 10465, 3956, 17862, 2110, 102]","[24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24]"
92,663,[CLS] Today I visited oldest synagogue continuous use Western Hemisphere [SEP],"['[CLS]', 'today', 'i', 'visited', 'oldest', 'synagogue', 'continuous', 'use', 'western', 'hemisphere', '[SEP]']","[101, 2651, 1045, 4716, 4587, 13067, 7142, 2224, 2530, 14130, 102]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]"
92,663,[CLS] The first Jew prayed      year George Washington born [SEP],"['[CLS]', 'the', 'first', 'jew', 'prayed', 'year', 'george', 'washington', 'born', '[SEP]']","[101, 1996, 2034, 16522, 14283, 2095, 2577, 2899, 2141, 102]","[26, 26, 26, 26, 26, 26, 26, 26, 26, 26]"
92,663,[CLS] Today McCarthy met antisemite Paul Gosar [SEP],"['[CLS]', 'today', 'mccarthy', 'met', 'anti', '##se', '##mite', 'paul', 'go', '##sar', '[SEP]']","[101, 2651, 12584, 2777, 3424, 3366, 23419, 2703, 2175, 10286, 102]","[27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27]"
92,663,[CLS] What call someone seeks power aid antisemites  [SEP],"['[CLS]', 'what', 'call', 'someone', 'seeks', 'power', 'aid', 'anti', '##se', '##mite', '##s', '[SEP]']","[101, 2054, 2655, 2619, 11014, 2373, 4681, 3424, 3366, 23419, 2015, 102]","[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
23,127,[CLS] Today Monday September   th marks   nd anniversary radical islamic terror attacks killed      Americans [SEP],"['[CLS]', 'today', 'monday', 'september', 'th', 'marks', 'n', '##d', 'anniversary', 'radical', 'islamic', 'terror', 'attacks', 'killed', 'americans', '[SEP]']","[101, 2651, 6928, 2244, 16215, 6017, 1050, 2094, 5315, 7490, 5499, 7404, 4491, 2730, 4841, 102]","[29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29]"
23,127,[CLS] If you re wondering president today it s New York Ground Zero DC Shanksville [SEP],"['[CLS]', 'if', 'you', 're', 'wondering', 'president', 'today', 'it', 's', 'new', 'york', 'ground', 'zero', 'dc', 'shan', '##ks', '##ville', '[SEP]']","[101, 2065, 2017, 2128, 6603, 2343, 2651, 2009, 1055, 2047, 2259, 2598, 5717, 5887, 17137, 5705, 3077, 102]","[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30]"
23,127,[CLS] He s Alaska [SEP],"['[CLS]', 'he', 's', 'alaska', '[SEP]']","[101, 2002, 1055, 7397, 102]","[31, 31, 31, 31, 31]"
52,523,[CLS] Today   th anniversary Ghouta chemical massacre Syria [SEP],"['[CLS]', 'today', 'th', 'anniversary', 'g', '##ho', '##uta', 'chemical', 'massacre', 'syria', '[SEP]']","[101, 2651, 16215, 5315, 1043, 6806, 13210, 5072, 9288, 7795, 102]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]"
52,523,[CLS] US blamed Syrian govt evidence points sectarian death squad rebels [SEP],"['[CLS]', 'us', 'blamed', 'syrian', 'govt', 'evidence', 'points', 'sect', '##arian', 'death', 'squad', 'rebels', '[SEP]']","[101, 2149, 11248, 9042, 22410, 3350, 2685, 17831, 12199, 2331, 4686, 8431, 102]","[33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33]"
52,523,[CLS] Thats Obama didnt bomb [SEP],"['[CLS]', 'that', '##s', 'obama', 'didn', '##t', 'bomb', '[SEP]']","[101, 2008, 2015, 8112, 2134, 2102, 5968, 102]","[34, 34, 34, 34, 34, 34, 34, 34]"
52,523,[CLS] There Western officials know Ghouta publicly disclosed [SEP],"['[CLS]', 'there', 'western', 'officials', 'know', 'g', '##ho', '##uta', 'publicly', 'disclosed', '[SEP]']","[101, 2045, 2530, 4584, 2113, 1043, 6806, 13210, 7271, 21362, 102]","[35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35]"
52,523,[CLS] Just OPCW leaks exposed Douma deception perhaps find way tell truth Ghouta [SEP],"['[CLS]', 'just', 'op', '##c', '##w', 'leaks', 'exposed', 'do', '##uma', 'deception', 'perhaps', 'find', 'way', 'tell', 'truth', 'g', '##ho', '##uta', '[SEP]']","[101, 2074, 6728, 2278, 2860, 29324, 6086, 2079, 12248, 17575, 3383, 2424, 2126, 2425, 3606, 1043, 6806, 13210, 102]","[36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]"
41,521,[CLS] This part broader Leftist narrative new rightwing Israeli government raising risk escalation   yearold terrorists shoot people going synagogue Hamas cheers PA cuts security cooperation [SEP],"['[CLS]', 'this', 'part', 'broader', 'leftist', 'narrative', 'new', 'right', '##wing', 'israeli', 'government', 'raising', 'risk', 'es', '##cala', '##tion', 'year', '##old', 'terrorists', 'shoot', 'people', 'going', 'synagogue', 'hamas', 'cheers', 'pa', 'cuts', 'security', 'cooperation', '[SEP]']","[101, 2023, 2112, 12368, 24247, 7984, 2047, 2157, 9328, 5611, 2231, 6274, 3891, 9686, 25015, 3508, 2095, 11614, 15554, 5607, 2111, 2183, 13067, 22129, 21250, 6643, 7659, 3036, 6792, 102]","[37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37]"
41,521,[CLS] Look pathetic NYT headline [SEP],"['[CLS]', 'look', 'pathetic', 'ny', '##t', 'headline', '[SEP]']","[101, 2298, 17203, 6396, 2102, 17653, 102]","[38, 38, 38, 38, 38, 38, 38]"
52,213,[CLS] These rebels also armed Israel regularly bombs Syria help enforce US blockade [SEP],"['[CLS]', 'these', 'rebels', 'also', 'armed', 'israel', 'regularly', 'bombs', 'syria', 'help', 'enforce', 'us', 'blockade', '[SEP]']","[101, 2122, 8431, 2036, 4273, 3956, 5570, 9767, 7795, 2393, 16306, 2149, 15823, 102]","[39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39]"
52,213,[CLS] Meanwhile US occupies    Syria stealing wheatoil imposes sanctions former senior Trump officials brag crushed Syrias economy causing food shortages You voted sanctions [SEP],"['[CLS]', 'meanwhile', 'us', 'occupies', 'syria', 'stealing', 'wheat', '##oi', '##l', 'impose', '##s', 'sanctions', 'former', 'senior', 'trump', 'officials', 'bra', '##g', 'crushed', 'syria', '##s', 'economy', 'causing', 'food', 'shortages', 'you', 'voted', 'sanctions', '[SEP]']","[101, 5564, 2149, 14133, 7795, 11065, 10500, 10448, 2140, 17607, 2015, 17147, 2280, 3026, 8398, 4584, 11655, 2290, 10560, 7795, 2015, 4610, 4786, 2833, 22623, 2017, 5444, 17147, 102]","[40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40]"
52,213,[CLS] You bravely stand Israel yet Syria prop policy Israel neocon allies DC [SEP],"['[CLS]', 'you', 'brave', '##ly', 'stand', 'israel', 'yet', 'syria', 'prop', 'policy', 'israel', 'neo', '##con', 'allies', 'dc', '[SEP]']","[101, 2017, 9191, 2135, 3233, 3956, 2664, 7795, 17678, 3343, 3956, 9253, 8663, 6956, 5887, 102]","[41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41]"
26,473,[CLS] The bigot five years ago called Nazis  very fine people  threatening Jewish Americans today [SEP],"['[CLS]', 'the', 'big', '##ot', 'five', 'years', 'ago', 'called', 'nazis', 'very', 'fine', 'people', 'threatening', 'jewish', 'americans', 'today', '[SEP]']","[101, 1996, 2502, 4140, 2274, 2086, 3283, 2170, 13157, 2200, 2986, 2111, 8701, 3644, 4841, 2651, 102]","[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42]"
26,473,[CLS] When someone shows believe first time [SEP],"['[CLS]', 'when', 'someone', 'shows', 'believe', 'first', 'time', '[SEP]']","[101, 2043, 2619, 3065, 2903, 2034, 2051, 102]","[43, 43, 43, 43, 43, 43, 43, 43]"
60,757,[CLS] The purpose terrorism terrorize [SEP],"['[CLS]', 'the', 'purpose', 'terrorism', 'terror', '##ize', '[SEP]']","[101, 1996, 3800, 10130, 7404, 4697, 102]","[44, 44, 44, 44, 44, 44, 44]"
41,775,[CLS] The juxtaposition rabid antiSemite Rashida Tlaib attempting perform Nakba Day lamenting existence State Israel Hamas fires missiles heart Tel Aviv pretty clarifying [SEP],"['[CLS]', 'the', 'ju', '##xt', '##ap', '##osition', 'ra', '##bid', 'anti', '##se', '##mite', 'rashid', '##a', 't', '##lai', '##b', 'attempting', 'perform', 'nak', '##ba', 'day', 'lame', '##nting', 'existence', 'state', 'israel', 'hamas', 'fires', 'missiles', 'heart', 'tel', 'aviv', 'pretty', 'clarify', '##ing', '[SEP]']","[101, 1996, 18414, 18413, 9331, 19234, 10958, 17062, 3424, 3366, 23419, 22080, 2050, 1056, 19771, 2497, 7161, 4685, 17823, 3676, 2154, 20342, 24360, 4598, 2110, 3956, 22129, 8769, 10815, 2540, 10093, 12724, 3492, 25037, 2075, 102]","[45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45]"
41,909,[CLS] The current Israeli government pass judicial reform [SEP],"['[CLS]', 'the', 'current', 'israeli', 'government', 'pass', 'judicial', 'reform', '[SEP]']","[101, 1996, 2783, 5611, 2231, 3413, 8268, 5290, 102]","[46, 46, 46, 46, 46, 46, 46, 46, 46]"
41,909,[CLS] It INCREDIBLY mild merely says judiciary cannot simply declare law unconstitutional land written constitution basis unreasonable Imagine Supreme Court United States routinely striking popularlypassed legislation without citing anything view whether legislation reasonable No legal arguments citations written text authority [SEP],"['[CLS]', 'it', 'incredibly', 'mild', 'merely', 'says', 'judiciary', 'cannot', 'simply', 'declare', 'law', 'unconstitutional', 'land', 'written', 'constitution', 'basis', 'unreasonable', 'imagine', 'supreme', 'court', 'united', 'states', 'routinely', 'striking', 'popularly', '##pass', '##ed', 'legislation', 'without', 'citing', 'anything', 'view', 'whether', 'legislation', 'reasonable', 'no', 'legal', 'arguments', 'citations', 'written', 'text', 'authority', '[SEP]']","[101, 2009, 11757, 10256, 6414, 2758, 14814, 3685, 3432, 13520, 2375, 20454, 2455, 2517, 4552, 3978, 29205, 5674, 4259, 2457, 2142, 2163, 19974, 8478, 16071, 15194, 2098, 6094, 2302, 8951, 2505, 3193, 3251, 6094, 9608, 2053, 3423, 9918, 22921, 2517, 3793, 3691, 102]","[47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47]"
41,909,[CLS] Nothing [SEP],"['[CLS]', 'nothing', '[SEP]']","[101, 2498, 102]","[48, 48, 48]"
41,909,[CLS] Thats situation currently [SEP],"['[CLS]', 'that', '##s', 'situation', 'currently', '[SEP]']","[101, 2008, 2015, 3663, 2747, 102]","[49, 49, 49, 49, 49, 49]"
41,909,[CLS] If elected government stops policy reservists say wont volunteer passes financial union powers say help shut economy incentivize endless societal shutdowns [SEP],"['[CLS]', 'if', 'elected', 'government', 'stops', 'policy', 'res', '##er', '##vis', '##ts', 'say', 'won', '##t', 'volunteer', 'passes', 'financial', 'union', 'powers', 'say', 'help', 'shut', 'economy', 'inc', '##ent', '##iv', '##ize', 'endless', 'societal', 'shut', '##down', '##s', '[SEP]']","[101, 2065, 2700, 2231, 6762, 3343, 24501, 2121, 11365, 3215, 2360, 2180, 2102, 6951, 5235, 3361, 2586, 4204, 2360, 2393, 3844, 4610, 4297, 4765, 12848, 4697, 10866, 23382, 3844, 7698, 2015, 102]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]"
41,909,[CLS] The means antidemocratic shutdown used future legislation future governments arent line protesters endangering Israels economy security [SEP],"['[CLS]', 'the', 'means', 'anti', '##de', '##mo', '##cratic', 'shut', '##down', 'used', 'future', 'legislation', 'future', 'governments', 'aren', '##t', 'line', 'protesters', 'end', '##anger', '##ing', 'israel', '##s', 'economy', 'security', '[SEP]']","[101, 1996, 2965, 3424, 3207, 5302, 17510, 3844, 7698, 2109, 2925, 6094, 2925, 6867, 4995, 2102, 2240, 13337, 2203, 25121, 2075, 3956, 2015, 4610, 3036, 102]","[51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51]"
41,909,[CLS] The absurdity morons like Thomas Friedman calling Joe Biden step Joe Biden currently claiming US Supreme Court undemocratic undermining legitimacy apparent [SEP],"['[CLS]', 'the', 'absurd', '##ity', 'mor', '##ons', 'like', 'thomas', 'friedman', 'calling', 'joe', 'bid', '##en', 'step', 'joe', 'bid', '##en', 'currently', 'claiming', 'us', 'supreme', 'court', 'und', '##em', '##oc', '##ratic', 'under', '##mini', '##ng', 'legitimacy', 'apparent', '[SEP]']","[101, 1996, 18691, 3012, 22822, 5644, 2066, 2726, 18486, 4214, 3533, 7226, 2368, 3357, 3533, 7226, 2368, 2747, 6815, 2149, 4259, 2457, 6151, 6633, 10085, 23671, 2104, 25300, 3070, 22568, 6835, 102]","[52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52]"
41,909,[CLS] Its Democrats increasing antipathy Israel anything realitybased [SEP],"['[CLS]', 'its', 'democrats', 'increasing', 'anti', '##pathy', 'israel', 'anything', 'reality', '##base', '##d', '[SEP]']","[101, 2049, 8037, 4852, 3424, 20166, 3956, 2505, 4507, 15058, 2094, 102]","[53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53]"
41,909,[CLS] Israel collapse [SEP],"['[CLS]', 'israel', 'collapse', '[SEP]']","[101, 3956, 7859, 102]","[54, 54, 54, 54]"
41,909,[CLS] It break civil war [SEP],"['[CLS]', 'it', 'break', 'civil', 'war', '[SEP]']","[101, 2009, 3338, 2942, 2162, 102]","[55, 55, 55, 55, 55, 55]"
41,909,[CLS] It continue fractious chaotic country filled highlyopinionated people fight share arak chamin cholent falafel [SEP],"['[CLS]', 'it', 'continue', 'fra', '##ct', '##ious', 'chaotic', 'country', 'filled', 'highly', '##op', '##ini', '##onate', '##d', 'people', 'fight', 'share', 'ara', '##k', 'cha', '##min', 'cho', '##lent', 'fa', '##la', '##fe', '##l', '[SEP]']","[101, 2009, 3613, 25312, 6593, 6313, 19633, 2406, 3561, 3811, 7361, 5498, 21149, 2094, 2111, 2954, 3745, 19027, 2243, 15775, 10020, 16480, 16136, 6904, 2721, 7959, 2140, 102]","[56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56]"
52,492,[CLS] The UN says Israels bombing Syrias Aleppo airport forced suspend divert flights used transport vital medical supplies tetanus vaccines diabetes medication bloodtransfusion testing equipment [SEP],"['[CLS]', 'the', 'un', 'says', 'israel', '##s', 'bombing', 'syria', '##s', 'aleppo', 'airport', 'forced', 'suspend', 'divert', 'flights', 'used', 'transport', 'vital', 'medical', 'supplies', 'te', '##tan', '##us', 'vaccines', 'diabetes', 'medication', 'blood', '##tra', '##ns', '##fusion', 'testing', 'equipment', '[SEP]']","[101, 1996, 4895, 2758, 3956, 2015, 8647, 7795, 2015, 22973, 3199, 3140, 28324, 27345, 7599, 2109, 3665, 8995, 2966, 6067, 8915, 5794, 2271, 28896, 14671, 14667, 2668, 6494, 3619, 20523, 5604, 3941, 102]","[57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57]"
16,534,[CLS] The USA always terrorize world corporate profits [SEP],"['[CLS]', 'the', 'usa', 'always', 'terror', '##ize', 'world', 'corporate', 'profits', '[SEP]']","[101, 1996, 3915, 2467, 7404, 4697, 2088, 5971, 11372, 102]","[58, 58, 58, 58, 58, 58, 58, 58, 58, 58]"
16,534,[CLS] Here Seymour Hersh explains EXACTLY United States blew The Nord Stream pipeline US companies could sell Natural Gas Europe [SEP],"['[CLS]', 'here', 'seymour', 'hers', '##h', 'explains', 'exactly', 'united', 'states', 'blew', 'the', 'nord', 'stream', 'pipeline', 'us', 'companies', 'could', 'sell', 'natural', 'gas', 'europe', '[SEP]']","[101, 2182, 13254, 5106, 2232, 7607, 3599, 2142, 2163, 8682, 1996, 13926, 5460, 13117, 2149, 3316, 2071, 5271, 3019, 3806, 2885, 102]","[59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59]"
16,534,[CLS] Were The Terrorists [SEP],"['[CLS]', 'were', 'the', 'terrorists', '[SEP]']","[101, 2020, 1996, 15554, 102]","[60, 60, 60, 60, 60]"
16,534,[CLS]   [SEP],"['[CLS]', '[SEP]']","[101, 102]","[61, 61]"
30,558,[CLS] The New York Times actually nerve support calls genocide [SEP],"['[CLS]', 'the', 'new', 'york', 'times', 'actually', 'nerve', 'support', 'calls', 'genocide', '[SEP]']","[101, 1996, 2047, 2259, 2335, 2941, 9113, 2490, 4455, 14052, 102]","[62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62]"
30,558,[CLS] If ever time cancel publication [SEP],"['[CLS]', 'if', 'ever', 'time', 'cancel', 'publication', '[SEP]']","[101, 2065, 2412, 2051, 17542, 4772, 102]","[63, 63, 63, 63, 63, 63, 63]"
30,558,[CLS] You read articles free anyway using [SEP],"['[CLS]', 'you', 'read', 'articles', 'free', 'anyway', 'using', '[SEP]']","[101, 2017, 3191, 4790, 2489, 4312, 2478, 102]","[64, 64, 64, 64, 64, 64, 64, 64]"
